,IPILSM,TBR,CPI,M2,Exports,Imports
01-01-1991,49.27,7.75,13.24,347058,509.31,686
01-02-1991,45.95,7.75,13.24,349044,457.71,679
01-03-1991,47.2,7.75,13.24,350665,524.12,761
01-04-1991,39,8.79,13.24,352706,519.48,655
01-05-1991,38.02,9.37,13.24,355137,554.77,738
01-06-1991,34.84,9.34,13.24,374158,665.7,619
01-07-1991,36.89,9.4,14.04,367292,522.83,852
01-08-1991,38.08,9.55,14.2,370265,592.19,751
01-09-1991,35.63,9.64,14.3,363406,547.26,625
01-10-1991,40.27,9.83,14.43,371611,468.65,700
01-11-1991,46.94,9.83,14.47,385820,424.94,737
01-12-1991,53.03,11.05,14.48,412196,574.76,817
01-01-1992,51.42,12.46,14.55,414312,482.2,846
01-02-1992,52.59,12.84,14.72,417459,557.3,791
01-03-1992,51,13.05,14.87,419752,657.78,751
01-04-1992,41.57,13.14,15.09,425291,595.42,675
01-05-1992,40.95,13.13,15.2,434079,646.34,743
01-06-1992,38.44,12.22,15.31,451012,691.77,711
01-07-1992,38.14,11.92,15.48,468850,419.64,741
01-08-1992,39.48,11.97,15.72,506967,515.51,820
01-09-1992,36.45,12.31,15.79,490864,536.29,858
01-10-1992,41.47,12.7,15.84,498976,552.45,910
01-11-1992,49.41,12.32,15.94,517022,544.52,917
01-12-1992,57.61,12.39,15.96,540042,662.2,884
01-01-1993,55.08,12.39,16.03,546513,518.35,911
01-02-1993,52.87,12.39,16.13,543299,512.62,801
01-03-1993,53.25,12.43,16.19,548757,519.83,778
01-04-1993,43.7,12.44,16.43,539180,652.13,779
01-05-1993,42.1,12.47,16.63,547694,682.15,879
01-06-1993,39.24,12.46,16.78,559831,665.85,771
01-07-1993,39.1,12.44,16.96,552836,398.58,881
01-08-1993,40.29,13.05,17.26,565050,466.52,706
01-09-1993,38.26,13.88,17.41,561389,466.84,728
01-10-1993,42.22,13.9,17.64,569154,529.1,701
01-11-1993,51.82,13.85,17.74,595390,574.54,715
01-12-1993,58.43,14.09,17.69,618417,754.01,667
01-01-1994,59.42,12.52,17.84,617979,548.69,767
01-02-1994,55.12,12.02,18.07,623451,526.68,692
01-03-1994,55.46,11.75,18.16,630541,530.04,683
01-04-1994,50.05,10.68,18.59,639347,560.84,730
01-05-1994,40.79,10.4,18.56,657618,603.49,696
01-06-1994,40.21,10.77,18.75,657953,724.27,725
01-07-1994,39.36,10.97,19.05,649248,552.49,747
01-08-1994,39.02,11.47,19.23,657995,559,832
01-09-1994,38.14,11.49,19.52,657283,589.31,800
01-10-1994,39.89,10.78,19.81,678678,580.23,822
01-11-1994,47.82,10.99,20.09,691691,595.14,798
01-12-1994,59.12,11.37,20.29,714349,694.89,995
01-01-1995,63.76,11.43,20.59,719593,663.2,867
01-02-1995,57.21,11.62,20.58,729744,621.81,759
01-03-1995,47.12,12.13,20.76,727876,710.84,849
01-04-1995,54.25,12.59,20.78,738681,649.47,859
01-05-1995,43,12.7,20.91,729726,699.36,896
01-06-1995,45.03,12.72,21.02,772998,860.44,1073
01-07-1995,40.31,12.72,21.31,777299,581,998
01-08-1995,41.21,12.66,21.74,767861,683,899
01-09-1995,40.51,12.69,21.94,768025,601,907
01-10-1995,45.51,12.69,21.96,769106,639,1080
01-11-1995,53.81,12.7,22.19,791250,635,949
01-12-1995,62.91,12.76,22.34,812998,779,1036
01-01-1996,59.9,12.74,22.43,825595,746,1047
01-02-1996,55.36,12.75,22.58,849758,638,920
01-03-1996,58.31,12.81,22.89,837795,826,973
01-04-1996,46.42,12.93,23.07,858061,718,998
01-05-1996,44.79,12.9,23.16,866160,662,1084
01-06-1996,45.65,12.98,23.19,938635,803,1124
01-07-1996,42.88,12.99,23.51,941063,553,908
01-08-1996,41.78,13.06,23.82,937659,635,909
01-09-1996,41.37,13.38,24.09,926590,678,877
01-10-1996,44.51,13.96,24.38,941904,783,1113
01-11-1996,47.94,15.23,24.68,963763,623,971
01-12-1996,61.77,16.57,24.89,976156,750,1147
01-01-1997,58.37,16.85,25.43,985010,612,954
01-02-1997,53.13,16.95,25.71,1014745,642,832
01-03-1997,60.44,16.78,25.59,1014783,737,815
01-04-1997,45.61,17.18,26.21,1021487,704,926
01-05-1997,41.47,17.25,26.15,1031850,698,933
01-06-1997,43.12,16.22,26.07,1053234,681,851
01-07-1997,42.68,16.38,26.23,1050986,704,855
01-08-1997,42.24,15.4,26.4,1056211,679,872
01-09-1997,40.93,15.19,26.57,1061787,665,746
01-10-1997,43.74,14.11,26.68,1077446,741,1036
01-11-1997,48.55,12.1,26.88,1113081,688,868
01-12-1997,68.28,13.52,26.91,1170525,738,978
01-01-1998,67.03,14.39,26.89,1187365,625,756
01-02-1998,64.92,14.87,26.99,1202235,716,779
01-03-1998,69.14,15.71,27.47,1200257,739,809
01-04-1998,52.87,16,27.59,1195582,740,885
01-05-1998,44.35,16.24,27.63,1202591,670,683
01-06-1998,44.13,15.75,27.76,1206320,729,1034
01-07-1998,43.46,15.58,28,1200896,591,728
01-08-1998,44.07,15.12,28.25,1193805,633,645
01-09-1998,44.81,13.7,28.28,1208384,631,792
01-10-1998,44.13,13.7,28.42,1205192,628,856
01-11-1998,48.89,11.96,28.55,1231330,567,892
01-12-1998,69.6,11.9,28.62,1262521,581,975
01-01-1999,67.23,12.28,28.57,1244605,630,763
01-02-1999,67.56,13.08,28.68,1237265,648,751
01-03-1999,70.99,12.15,28.77,1248394,670,694
01-04-1999,57.61,10.6,28.85,1225103,635,780
01-05-1999,47.98,10.6,28.83,1245209,593,783
01-06-1999,47.38,10.6,28.78,1280546,721,954
01-07-1999,45.57,10.6,28.98,1266134,607,690
01-08-1999,45.29,9.43,29.11,1261790,583,738
01-09-1999,45.83,10.15,29.23,1265660,608,836
01-10-1999,47.72,10.36,29.49,1270038,620,779
01-11-1999,57.95,10.04,29.52,1282222,627,826
01-12-1999,73.42,10.13,29.49,1316989,731,926
01-01-2000,63.78,8.46,29.55,1315232,617,940
01-02-2000,62.95,7.7,29.54,1321455,687,820
01-03-2000,57.53,7.44,29.8,1321033,691,675
01-04-2000,47.1,7.16,29.97,1322787,645,723
01-05-2000,52.46,7.15,29.94,1363548,690,816
01-06-2000,50.5,7.22,30.25,1400632,1085,833
01-07-2000,53.23,7.19,30.42,1382304,654,867
01-08-2000,54.81,7.38,30.41,1385704,756,918
01-09-2000,53.88,7.79,30.7,1397199,725,918
01-10-2000,57.66,10.73,30.84,1402459,758,816
01-11-2000,58.41,10.97,31.12,1426567,728,901
01-12-2000,59,10.96,30.98,1476675,703,669
01-01-2001,64.21,10.96,30.93,1454116,776,1015
01-02-2001,66.86,10.96,30.9,1461240,727,770
01-03-2001,65.54,11.25,31.05,1467359,756,885
01-04-2001,58.26,11.54,31.15,1457899,737,773
01-05-2001,61.57,11.56,31.01,1470067,777,804
01-06-2001,59.71,12.53,31.02,1526045,837,866
01-07-2001,56.76,12.07,30.51,1523824,675,778
01-08-2001,57.61,10.92,30.7,1538011,781,850
01-09-2001,57.86,10.49,30.74,1518433,747,784
01-10-2001,57.51,10.34,30.86,1557551,862,757
01-11-2001,57.73,8.36,30.95,1606288,791,735
01-12-2001,61.33,8.03,30.8,1647187,665,724
01-01-2002,69.68,7.06,30.83,1644484,727,796
01-02-2002,63.01,6.02,30.93,1680273,672,721
01-03-2002,67.86,6.45,31.34,1668590,738,716
01-04-2002,66.96,6.46,31.45,1681902,823,786
01-05-2002,62.33,6.4,31.24,1711155,785,834
01-06-2002,61.21,6.35,31.39,1761369,874,953
01-07-2002,58.83,6.34,31.73,1768109,795,943
01-08-2002,58.93,6.4,31.83,1780702,895,974
01-09-2002,57.9,6.38,31.88,1806246,933,852
01-10-2002,58.08,6.38,31.94,1821906,845,899
01-11-2002,61.45,4.8,31.91,1886139,874,920
01-12-2002,67.85,4.45,31.83,1917007,831,1034
01-01-2003,75.99,3.8,31.88,1916929,893,924
01-02-2003,69.04,3.2,32.03,1948860,852,827
01-03-2003,80.01,2.1,32.04,1975061,861,993
01-04-2003,72.58,1.64,32.15,1973120,982,979
01-05-2003,67.48,1.7,32.06,2022502,1028,959
01-06-2003,67.21,1.8,31.99,2078704,1100,1029
01-07-2003,62.61,1.21,32.17,2088518,989,1020
01-08-2003,65.19,1.21,32.38,2098133,941,930
01-09-2003,67.48,1.61,32.58,2119063,1084,1064
01-10-2003,69.98,1.61,33.06,2168012,1031,1057
01-11-2003,63.81,1.66,33.26,2243178,885,876
01-12-2003,84.7,1.64,33.55,2245880,1139,1271
01-01-2004,87.34,1.64,33.52,2293997,1129,1168
01-02-2004,78.14,1.68,33.41,2312306,893,1212
01-03-2004,89.05,1.74,33.75,2323938,1084,1222
01-04-2004,82.59,1.82,34.08,2367426,1113,1230
01-05-2004,78.12,2.08,34.31,2402195,982,1166
01-06-2004,78.31,2.08,34.69,2486556,1126,1388
01-07-2004,73.62,2.52,35.17,2493152,1081,1440
01-08-2004,75.43,2.62,35.38,2499508,1117.94,1311
01-09-2004,75.64,3,35.51,2513710,1194,1424
01-10-2004,77.47,3.19,35.93,2575913,1123.29,1616
01-11-2004,81.85,3.73,36.33,2623724,1118.57,1745
01-12-2004,101.4,3.73,36.03,2728981,1311.24,1686
01-01-2005,95.72,4.16,36.38,2730074,1138.6,1427
01-02-2005,90.42,4.79,36.73,2758084,1167.33,1591
01-03-2005,103.44,5.35,37.21,2809189,1444.86,1783
01-04-2005,93.8,7.08,37.86,2828158,1224.18,1508
01-05-2005,94.54,7.82,37.69,2864430,1182.26,1741
01-06-2005,90.25,7.92,37.73,2966352,1378.13,1724
